"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"2015"	"2015"	"Adams County, OH"	"39001"	13	22006	Unreliable	31.5	101.0	16.4	0.1%
	"2015"	"2015"	"Allen County, OH"	"39003"	21	82914	25.3	15.7	38.7	5.5	0.1%
	"2015"	"2015"	"Ashtabula County, OH"	"39007"	24	79192	30.3	19.4	45.1	6.2	0.1%
	"2015"	"2015"	"Belmont County, OH"	"39013"	18	57540	Unreliable	18.5	49.4	7.4	0.1%
	"2015"	"2015"	"Brown County, OH"	"39015"	26	34930	74.4	48.6	109.1	14.6	0.1%
	"2015"	"2015"	"Butler County, OH"	"39017"	201	296652	67.8	58.4	77.1	4.8	0.9%
	"2015"	"2015"	"Clark County, OH"	"39023"	78	108703	71.8	56.7	89.6	8.1	0.4%
	"2015"	"2015"	"Clermont County, OH"	"39025"	104	159508	65.2	52.7	77.7	6.4	0.5%
	"2015"	"2015"	"Clinton County, OH"	"39027"	22	33175	66.3	41.6	100.4	14.1	0.1%
	"2015"	"2015"	"Columbiana County, OH"	"39029"	32	85642	37.4	25.6	52.7	6.6	0.1%
	"2015"	"2015"	"Crawford County, OH"	"39033"	13	34180	Unreliable	20.3	65.0	10.5	0.1%
	"2015"	"2015"	"Cuyahoga County, OH"	"39035"	305	1019984	29.9	26.5	33.3	1.7	1.4%
	"2015"	"2015"	"Darke County, OH"	"39037"	16	41064	Unreliable	22.3	63.3	9.7	0.1%
	"2015"	"2015"	"Delaware County, OH"	"39041"	18	146362	Unreliable	7.3	19.4	2.9	0.1%
	"2015"	"2015"	"Erie County, OH"	"39043"	25	61786	40.5	26.2	59.7	8.1	0.1%
	"2015"	"2015"	"Fairfield County, OH"	"39045"	18	119490	Unreliable	8.9	23.8	3.6	0.1%
	"2015"	"2015"	"Fayette County, OH"	"39047"	16	22663	Unreliable	40.4	114.6	17.6	0.1%
	"2015"	"2015"	"Franklin County, OH"	"39049"	319	985989	32.4	28.8	35.9	1.8	1.5%
	"2015"	"2015"	"Gallia County, OH"	"39053"	11	24021	Unreliable	22.9	81.9	13.8	0.1%
	"2015"	"2015"	"Geauga County, OH"	"39055"	14	74819	Unreliable	10.2	31.4	5.0	0.1%
	"2015"	"2015"	"Greene County, OH"	"39057"	49	134472	36.4	27.0	48.2	5.2	0.2%
	"2015"	"2015"	"Guernsey County, OH"	"39059"	14	31463	Unreliable	24.3	74.7	11.9	0.1%
	"2015"	"2015"	"Hamilton County, OH"	"39061"	362	640127	56.6	50.7	62.4	3.0	1.7%
	"2015"	"2015"	"Hancock County, OH"	"39063"	16	60475	Unreliable	15.1	43.0	6.6	0.1%
	"2015"	"2015"	"Highland County, OH"	"39071"	15	33859	Unreliable	24.8	73.1	11.4	0.1%
	"2015"	"2015"	"Huron County, OH"	"39077"	11	45885	Unreliable	12.0	42.9	7.2	0.1%
	"2015"	"2015"	"Jefferson County, OH"	"39081"	17	55815	Unreliable	17.7	48.8	7.4	0.1%
	"2015"	"2015"	"Knox County, OH"	"39083"	12	48572	Unreliable	12.8	43.2	7.1	0.1%
	"2015"	"2015"	"Lake County, OH"	"39085"	54	187621	28.8	21.6	37.6	3.9	0.2%
	"2015"	"2015"	"Lawrence County, OH"	"39087"	25	49206	50.8	32.9	75.0	10.2	0.1%
	"2015"	"2015"	"Licking County, OH"	"39089"	37	135228	27.4	19.3	37.7	4.5	0.2%
	"2015"	"2015"	"Logan County, OH"	"39091"	11	35946	Unreliable	15.3	54.8	9.2	0.1%
	"2015"	"2015"	"Lorain County, OH"	"39093"	72	244657	29.4	23.0	37.1	3.5	0.3%
	"2015"	"2015"	"Lucas County, OH"	"39095"	129	344365	37.5	31.0	43.9	3.3	0.6%
	"2015"	"2015"	"Mahoning County, OH"	"39099"	65	190411	34.1	26.3	43.5	4.2	0.3%
	"2015"	"2015"	"Marion County, OH"	"39101"	24	53195	45.1	28.9	67.1	9.2	0.1%
	"2015"	"2015"	"Medina County, OH"	"39103"	37	140837	26.3	18.5	36.2	4.3	0.2%
	"2015"	"2015"	"Miami County, OH"	"39109"	17	82982	Unreliable	11.9	32.8	5.0	0.1%
	"2015"	"2015"	"Montgomery County, OH"	"39113"	266	426865	62.3	54.8	69.8	3.8	1.2%
	"2015"	"2015"	"Muskingum County, OH"	"39119"	15	68870	Unreliable	12.2	35.9	5.6	0.1%
	"2015"	"2015"	"Pickaway County, OH"	"39129"	10	46019	Unreliable	10.4	40.0	6.9	0.0%
	"2015"	"2015"	"Pike County, OH"	"39131"	13	22274	Unreliable	31.1	99.8	16.2	0.1%
	"2015"	"2015"	"Portage County, OH"	"39133"	39	135298	28.8	20.5	39.4	4.6	0.2%
	"2015"	"2015"	"Preble County, OH"	"39135"	14	32990	Unreliable	23.2	71.2	11.3	0.1%
	"2015"	"2015"	"Richland County, OH"	"39139"	38	98405	38.6	27.3	53.0	6.3	0.2%
	"2015"	"2015"	"Ross County, OH"	"39141"	41	62553	65.5	47.0	88.9	10.2	0.2%
	"2015"	"2015"	"Sandusky County, OH"	"39143"	12	47597	Unreliable	13.0	44.0	7.3	0.1%
	"2015"	"2015"	"Scioto County, OH"	"39145"	32	61922	51.7	35.3	73.0	9.1	0.1%
	"2015"	"2015"	"Seneca County, OH"	"39147"	12	44682	Unreliable	13.9	46.9	7.8	0.1%
	"2015"	"2015"	"Stark County, OH"	"39151"	84	303391	27.7	22.1	34.3	3.0	0.4%
	"2015"	"2015"	"Summit County, OH"	"39153"	202	439623	45.9	39.6	52.3	3.2	0.9%
	"2015"	"2015"	"Trumbull County, OH"	"39155"	96	166533	57.6	46.7	70.4	5.9	0.4%
	"2015"	"2015"	"Tuscarawas County, OH"	"39157"	10	74201	Unreliable	6.5	24.8	4.3	0.0%
	"2015"	"2015"	"Warren County, OH"	"39165"	46	174095	26.4	19.3	35.2	3.9	0.2%
	"2015"	"2015"	"Washington County, OH"	"39167"	12	50354	Unreliable	12.3	41.6	6.9	0.1%
	"2015"	"2015"	"Wayne County, OH"	"39169"	25	90845	27.5	17.8	40.6	5.5	0.1%
	"2015"	"2015"	"Wood County, OH"	"39173"	26	106239	24.5	16.0	35.9	4.8	0.1%
"Total"	"2015"	"2015"			3408	9295051	36.7	35.4	37.9	0.6	15.7%
	"2016"	"2016"	"Adams County, OH"	"39001"	13	22014	Unreliable	31.4	101.0	16.4	0.1%
	"2016"	"2016"	"Allen County, OH"	"39003"	35	82481	42.4	29.6	59.0	7.2	0.2%
	"2016"	"2016"	"Ashland County, OH"	"39005"	13	43005	Unreliable	16.1	51.7	8.4	0.1%
	"2016"	"2016"	"Ashtabula County, OH"	"39007"	45	79028	56.9	41.5	76.2	8.5	0.2%
	"2016"	"2016"	"Athens County, OH"	"39009"	10	57551	Unreliable	8.3	32.0	5.5	0.0%
	"2016"	"2016"	"Belmont County, OH"	"39013"	23	57175	40.2	25.5	60.4	8.4	0.1%
	"2016"	"2016"	"Brown County, OH"	"39015"	19	34947	Unreliable	32.7	84.9	12.5	0.1%
	"2016"	"2016"	"Butler County, OH"	"39017"	226	298226	75.8	65.9	85.7	5.0	1.0%
	"2016"	"2016"	"Champaign County, OH"	"39021"	16	31024	Unreliable	29.5	83.8	12.9	0.1%
	"2016"	"2016"	"Clark County, OH"	"39023"	79	107816	73.3	58.0	91.3	8.2	0.4%
	"2016"	"2016"	"Clermont County, OH"	"39025"	106	160784	65.9	53.4	78.5	6.4	0.5%
	"2016"	"2016"	"Clinton County, OH"	"39027"	13	33196	Unreliable	20.9	67.0	10.9	0.1%
	"2016"	"2016"	"Columbiana County, OH"	"39029"	45	84966	53.0	38.6	70.9	7.9	0.2%
	"2016"	"2016"	"Cuyahoga County, OH"	"39035"	575	1016587	56.6	51.9	61.2	2.4	2.6%
	"2016"	"2016"	"Darke County, OH"	"39037"	22	40907	53.8	33.7	81.4	11.5	0.1%
	"2016"	"2016"	"Delaware County, OH"	"39041"	14	149483	Unreliable	5.1	15.7	2.5	0.1%
	"2016"	"2016"	"Erie County, OH"	"39043"	37	61555	60.1	42.3	82.9	9.9	0.2%
	"2016"	"2016"	"Fairfield County, OH"	"39045"	29	120734	24.0	16.1	34.5	4.5	0.1%
	"2016"	"2016"	"Franklin County, OH"	"39049"	355	997031	35.6	31.9	39.3	1.9	1.6%
	"2016"	"2016"	"Fulton County, OH"	"39051"	12	33572	Unreliable	18.5	62.4	10.3	0.1%
	"2016"	"2016"	"Gallia County, OH"	"39053"	14	23920	Unreliable	32.0	98.2	15.6	0.1%
	"2016"	"2016"	"Geauga County, OH"	"39055"	27	74952	36.0	23.7	52.4	6.9	0.1%
	"2016"	"2016"	"Greene County, OH"	"39057"	49	134809	36.3	26.9	48.1	5.2	0.2%
	"2016"	"2016"	"Guernsey County, OH"	"39059"	14	31407	Unreliable	24.4	74.8	11.9	0.1%
	"2016"	"2016"	"Hamilton County, OH"	"39061"	342	641728	53.3	47.6	58.9	2.9	1.6%
	"2016"	"2016"	"Hancock County, OH"	"39063"	20	60674	33.0	20.1	50.9	7.4	0.1%
	"2016"	"2016"	"Highland County, OH"	"39071"	22	33961	64.8	40.6	98.1	13.8	0.1%
	"2016"	"2016"	"Huron County, OH"	"39077"	18	46020	Unreliable	23.2	61.8	9.2	0.1%
	"2016"	"2016"	"Jefferson County, OH"	"39081"	16	55297	Unreliable	16.5	47.0	7.2	0.1%
	"2016"	"2016"	"Knox County, OH"	"39083"	12	48637	Unreliable	12.7	43.1	7.1	0.1%
	"2016"	"2016"	"Lake County, OH"	"39085"	102	187970	54.3	43.7	64.8	5.4	0.5%
	"2016"	"2016"	"Lawrence County, OH"	"39087"	31	49041	63.2	42.9	89.7	11.4	0.1%
	"2016"	"2016"	"Licking County, OH"	"39089"	21	136580	15.4	9.5	23.5	3.4	0.1%
	"2016"	"2016"	"Logan County, OH"	"39091"	17	35890	Unreliable	27.6	75.8	11.5	0.1%
	"2016"	"2016"	"Lorain County, OH"	"39093"	151	246011	61.4	51.6	71.2	5.0	0.7%
	"2016"	"2016"	"Lucas County, OH"	"39095"	172	343696	50.0	42.6	57.5	3.8	0.8%
	"2016"	"2016"	"Madison County, OH"	"39097"	18	35419	Unreliable	30.1	80.3	12.0	0.1%
	"2016"	"2016"	"Mahoning County, OH"	"39099"	88	189199	46.5	37.3	57.3	5.0	0.4%
	"2016"	"2016"	"Marion County, OH"	"39101"	29	53133	54.6	36.6	78.4	10.1	0.1%
	"2016"	"2016"	"Medina County, OH"	"39103"	46	141860	32.4	23.7	43.3	4.8	0.2%
	"2016"	"2016"	"Miami County, OH"	"39109"	40	83438	47.9	34.2	65.3	7.6	0.2%
	"2016"	"2016"	"Montgomery County, OH"	"39113"	331	426897	77.5	69.2	85.9	4.3	1.5%
	"2016"	"2016"	"Muskingum County, OH"	"39119"	11	68786	Unreliable	8.0	28.6	4.8	0.1%
	"2016"	"2016"	"Ottawa County, OH"	"39123"	15	33981	Unreliable	24.7	72.8	11.4	0.1%
	"2016"	"2016"	"Portage County, OH"	"39133"	53	135211	39.2	29.4	51.3	5.4	0.2%
	"2016"	"2016"	"Preble County, OH"	"39135"	23	33034	69.6	44.1	104.5	14.5	0.1%
	"2016"	"2016"	"Richland County, OH"	"39139"	76	98076	77.5	61.1	97.0	8.9	0.3%
	"2016"	"2016"	"Ross County, OH"	"39141"	46	62516	73.6	53.9	98.1	10.8	0.2%
	"2016"	"2016"	"Sandusky County, OH"	"39143"	23	47477	48.4	30.7	72.7	10.1	0.1%
	"2016"	"2016"	"Scioto County, OH"	"39145"	39	61540	63.4	45.1	86.6	10.1	0.2%
	"2016"	"2016"	"Shelby County, OH"	"39149"	15	37719	Unreliable	22.3	65.6	10.3	0.1%
	"2016"	"2016"	"Stark County, OH"	"39151"	128	302413	42.3	35.0	49.7	3.7	0.6%
	"2016"	"2016"	"Summit County, OH"	"39153"	320	439184	72.9	64.9	80.8	4.1	1.5%
	"2016"	"2016"	"Trumbull County, OH"	"39155"	119	165321	72.0	59.0	84.9	6.6	0.5%
	"2016"	"2016"	"Tuscarawas County, OH"	"39157"	16	73911	Unreliable	12.4	35.2	5.4	0.1%
	"2016"	"2016"	"Warren County, OH"	"39165"	64	177261	36.1	27.8	46.1	4.5	0.3%
	"2016"	"2016"	"Washington County, OH"	"39167"	25	50083	49.9	32.3	73.7	10.0	0.1%
	"2016"	"2016"	"Wayne County, OH"	"39169"	47	91306	51.5	37.8	68.5	7.5	0.2%
	"2016"	"2016"	"Williams County, OH"	"39171"	10	29600	Unreliable	16.2	62.1	10.7	0.0%
	"2016"	"2016"	"Wood County, OH"	"39173"	25	106782	23.4	15.2	34.6	4.7	0.1%
"Total"	"2016"	"2016"			4472	9312259	48.0	46.6	49.4	0.7	20.6%
	"2017"	"2017"	"Adams County, OH"	"39001"	16	21881	Unreliable	41.8	118.7	18.3	0.1%
	"2017"	"2017"	"Allen County, OH"	"39003"	43	82176	52.3	37.9	70.5	8.0	0.2%
	"2017"	"2017"	"Ashland County, OH"	"39005"	10	43010	Unreliable	11.1	42.8	7.4	0.0%
	"2017"	"2017"	"Ashtabula County, OH"	"39007"	44	78818	55.8	40.6	74.9	8.4	0.2%
	"2017"	"2017"	"Belmont County, OH"	"39013"	24	56684	42.3	27.1	63.0	8.6	0.1%
	"2017"	"2017"	"Brown County, OH"	"39015"	32	34807	91.9	62.9	129.8	16.3	0.1%
	"2017"	"2017"	"Butler County, OH"	"39017"	272	301151	90.3	79.6	101.1	5.5	1.3%
	"2017"	"2017"	"Champaign County, OH"	"39021"	19	31196	Unreliable	36.7	95.1	14.0	0.1%
	"2017"	"2017"	"Clark County, OH"	"39023"	98	107807	90.9	73.8	110.8	9.2	0.5%
	"2017"	"2017"	"Clermont County, OH"	"39025"	96	162309	59.1	47.9	72.2	6.0	0.4%
	"2017"	"2017"	"Clinton County, OH"	"39027"	31	33408	92.8	63.0	131.7	16.7	0.1%
	"2017"	"2017"	"Columbiana County, OH"	"39029"	51	84582	60.3	44.9	79.3	8.4	0.2%
