,Year,County,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths,Divorce Count
0,2015,"Adams County, OH",13,22006,Unreliable,31.5,101,16.4,0.10%,119.00 
1,2015,"Allen County, OH",21,82914,25.3,15.7,38.7,5.5,0.10%,326.00 
2,2015,"Ashtabula County, OH",24,79192,30.3,19.4,45.1,6.2,0.10%,344.00 
3,2015,"Belmont County, OH",18,57540,Unreliable,18.5,49.4,7.4,0.10%,229.00 
4,2015,"Brown County, OH",26,34930,74.4,48.6,109.1,14.6,0.10%,168.00 
5,2015,"Butler County, OH",201,296652,67.8,58.4,77.1,4.8,0.90%,979.00 
6,2015,"Clark County, OH",78,108703,71.8,56.7,89.6,8.1,0.40%,445.00 
7,2015,"Clermont County, OH",104,159508,65.2,52.7,77.7,6.4,0.50%,759.00 
8,2015,"Clinton County, OH",22,33175,66.3,41.6,100.4,14.1,0.10%,165.00 
9,2015,"Columbiana County, OH",32,85642,37.4,25.6,52.7,6.6,0.10%,345.00 
10,2015,"Cuyahoga County, OH",305,1019984,29.9,26.5,33.3,1.7,1.40%,3547.00 
11,2015,"Darke County, OH",16,41064,Unreliable,22.3,63.3,9.7,0.10%,161.00 
12,2015,"Delaware County, OH",18,146362,Unreliable,7.3,19.4,2.9,0.10%,415.00 
13,2015,"Erie County, OH",25,61786,40.5,26.2,59.7,8.1,0.10%,227.00 
14,2015,"Fairfield County, OH",18,119490,Unreliable,8.9,23.8,3.6,0.10%,473.00 
15,2015,"Franklin County, OH",319,985989,32.4,28.8,35.9,1.8,1.50%,4264.00 
16,2015,"Gallia County, OH",11,24021,Unreliable,22.9,81.9,13.8,0.10%,138.00 
17,2015,"Geauga County, OH",14,74819,Unreliable,10.2,31.4,5,0.10%,252.00 
18,2015,"Greene County, OH",49,134472,36.4,27,48.2,5.2,0.20%,420.00 
19,2015,"Hamilton County, OH",362,640127,56.6,50.7,62.4,3,1.70%,2124.00 
20,2015,"Hancock County, OH",16,60475,Unreliable,15.1,43,6.6,0.10%,253.00 
21,2015,"Huron County, OH",11,45885,Unreliable,12,42.9,7.2,0.10%,182.00 
22,2015,"Jefferson County, OH",17,55815,Unreliable,17.7,48.8,7.4,0.10%,216.00 
23,2015,"Knox County, OH",12,48572,Unreliable,12.8,43.2,7.1,0.10%,200.00 
24,2015,"Lake County, OH",54,187621,28.8,21.6,37.6,3.9,0.20%,680.00 
25,2015,"Lawrence County, OH",25,49206,50.8,32.9,75,10.2,0.10%,282.00 
26,2015,"Licking County, OH",37,135228,27.4,19.3,37.7,4.5,0.20%,571.00 
27,2015,"Logan County, OH",11,35946,Unreliable,15.3,54.8,9.2,0.10%,176.00 
28,2015,"Lorain County, OH",72,244657,29.4,23,37.1,3.5,0.30%,848.00 
29,2015,"Lucas County, OH",129,344365,37.5,31,43.9,3.3,0.60%,1342.00 
30,2015,"Mahoning County, OH",65,190411,34.1,26.3,43.5,4.2,0.30%,527.00 
31,2015,"Marion County, OH",24,53195,45.1,28.9,67.1,9.2,0.10%,266.00 
32,2015,"Medina County, OH",37,140837,26.3,18.5,36.2,4.3,0.20%,559.00 
33,2015,"Miami County, OH",17,82982,Unreliable,11.9,32.8,5,0.10%,370.00 
