"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M","B09019_027E","B09019_027M","B09019_028E","B09019_028M","B09019_029E","B09019_029M","B09019_030E","B09019_030M","B09019_031E","B09019_031M","B09019_032E","B09019_032M","B09019_033E","B09019_033M","B09019_034E","B09019_034M","B09019_035E","B09019_035M","B09019_036E","B09019_036M","B09019_037E","B09019_037M","B09019_038E","B09019_038M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In households","Margin of Error!!Total!!In households","Estimate!!Total!!In households!!In family households","Margin of Error!!Total!!In households!!In family households","Estimate!!Total!!In households!!In family households!!Householder","Margin of Error!!Total!!In households!!In family households!!Householder","Estimate!!Total!!In households!!In family households!!Householder!!Male","Margin of Error!!Total!!In households!!In family households!!Householder!!Male","Estimate!!Total!!In households!!In family households!!Householder!!Female","Margin of Error!!Total!!In households!!In family households!!Householder!!Female","Estimate!!Total!!In households!!In family households!!Spouse","Margin of Error!!Total!!In households!!In family households!!Spouse","Estimate!!Total!!In households!!In family households!!Child","Margin of Error!!Total!!In households!!In family households!!Child","Estimate!!Total!!In households!!In family households!!Child!!Biological child","Margin of Error!!Total!!In households!!In family households!!Child!!Biological child","Estimate!!Total!!In households!!In family households!!Child!!Adopted child","Margin of Error!!Total!!In households!!In family households!!Child!!Adopted child","Estimate!!Total!!In households!!In family households!!Child!!Stepchild","Margin of Error!!Total!!In households!!In family households!!Child!!Stepchild","Estimate!!Total!!In households!!In family households!!Grandchild","Margin of Error!!Total!!In households!!In family households!!Grandchild","Estimate!!Total!!In households!!In family households!!Brother or sister","Margin of Error!!Total!!In households!!In family households!!Brother or sister","Estimate!!Total!!In households!!In family households!!Parent","Margin of Error!!Total!!In households!!In family households!!Parent","Estimate!!Total!!In households!!In family households!!Parent-in-law","Margin of Error!!Total!!In households!!In family households!!Parent-in-law","Estimate!!Total!!In households!!In family households!!Son-in-law or daughter-in-law","Margin of Error!!Total!!In households!!In family households!!Son-in-law or daughter-in-law","Estimate!!Total!!In households!!In family households!!Other relatives","Margin of Error!!Total!!In households!!In family households!!Other relatives","Estimate!!Total!!In households!!In family households!!Nonrelatives","Margin of Error!!Total!!In households!!In family households!!Nonrelatives","Estimate!!Total!!In households!!In family households!!Nonrelatives!!Roomer or boarder","Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Roomer or boarder","Estimate!!Total!!In households!!In family households!!Nonrelatives!!Housemate or roommate","Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Housemate or roommate","Estimate!!Total!!In households!!In family households!!Nonrelatives!!Unmarried partner","Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Unmarried partner","Estimate!!Total!!In households!!In family households!!Nonrelatives!!Foster child","Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Foster child","Estimate!!Total!!In households!!In family households!!Nonrelatives!!Other nonrelatives","Margin of Error!!Total!!In households!!In family households!!Nonrelatives!!Other nonrelatives","Estimate!!Total!!In households!!In nonfamily households","Margin of Error!!Total!!In households!!In nonfamily households","Estimate!!Total!!In households!!In nonfamily households!!Householder","Margin of Error!!Total!!In households!!In nonfamily households!!Householder","Estimate!!Total!!In households!!In nonfamily households!!Householder!!Male","Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Male","Estimate!!Total!!In households!!In nonfamily households!!Householder!!Male!!Living alone","Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Male!!Living alone","Estimate!!Total!!In households!!In nonfamily households!!Householder!!Male!!Not living alone","Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Male!!Not living alone","Estimate!!Total!!In households!!In nonfamily households!!Householder!!Female","Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Female","Estimate!!Total!!In households!!In nonfamily households!!Householder!!Female!!Living alone","Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Female!!Living alone","Estimate!!Total!!In households!!In nonfamily households!!Householder!!Female!!Not living alone","Margin of Error!!Total!!In households!!In nonfamily households!!Householder!!Female!!Not living alone","Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives","Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives","Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Roomer or boarder","Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Roomer or boarder","Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Housemate or roommate","Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Housemate or roommate","Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Unmarried partner","Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Unmarried partner","Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Foster child","Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Foster child","Estimate!!Total!!In households!!In nonfamily households!!Nonrelatives!!Other nonrelatives","Margin of Error!!Total!!In households!!In nonfamily households!!Nonrelatives!!Other nonrelatives","Estimate!!Total!!In group quarters","Margin of Error!!Total!!In group quarters"
"0500000US39001","Adams County, Ohio","27926","*****","27546","163","23313","486","7332","312","3921","298","3411","263","5344","355","8209","381","7501","468","114","71","594","242","831","175","159","72","223","114","8","10","140","85","282","151","785","215","6","13","18","24","386","135","4","7","371","174","4233","488","3497","311","1668","206","1392","202","276","100","1829","221","1656","210","173","86","736","265","82","90","43","39","202","76","0","21","409","246","380","163"
"0500000US39003","Allen County, Ohio","104157","*****","100093","350","83400","826","26509","575","13411","565","13098","539","19070","580","30084","750","28171","859","523","159","1390","315","2721","460","826","191","617","218","206","100","252","94","1015","198","2100","294","249","147","132","68","1326","236","5","8","388","128","16693","818","13810","543","6714","389","5553","396","1161","239","7096","426","6157","375","939","194","2883","439","337","216","714","249","1304","232","18","26","510","197","4064","350"
"0500000US39005","Ashland County, Ohio","53299","*****","51078","216","42810","636","13907","426","7563","385","6344","380","10856","400","14859","492","13607","427","479","183","773","214","1078","215","287","90","208","88","110","65","223","82","234","83","1048","219","120","76","94","57","612","181","11","14","211","95","8268","630","6597","407","3574","316","2784","283","790","165","3023","277","2691","248","332","104","1671","354","67","50","347","165","806","187","0","27","451","179","2221","216"
"0500000US39007","Ashtabula County, Ohio","98622","*****","95121","300","79005","869","24991","643","12973","572","12018","496","18102","581","27550","785","25600","845","438","165","1512","307","2208","343","730","208","932","263","160","75","385","132","1267","315","2680","319","210","97","309","148","1612","253","43","44","506","138","16116","820","13390","626","6687","486","5382","438","1305","205","6703","369","5856","361","847","174","2726","382","153","111","435","156","1623","236","0","27","515","241","3501","300"
"0500000US39009","Athens County, Ohio","65563","*****","55842","387","39192","646","12407","426","6369","394","6038","448","9115","411","13249","566","12263","558","347","125","639","213","823","211","665","183","416","153","13","13","314","116","692","199","1498","291","144","111","380","213","571","149","30","24","373","125","16650","617","10102","410","5077","321","3562","312","1515","233","5025","340","3640","335","1385","166","6548","521","1326","414","3729","561","1037","176","6","10","450","191","9721","387"
"0500000US39011","Auglaize County, Ohio","45778","*****","45243","128","38752","458","12790","323","7022","322","5768","360","10418","291","12986","435","11898","474","220","85","868","204","947","266","224","164","122","58","31","34","137","65","249","125","848","160","30","29","38","34","573","132","30","32","177","66","6491","452","5552","274","2734","233","2158","210","576","160","2818","261","2546","234","272","91","939","258","26","31","170","105","555","146","0","24","188","136","535","128"
"0500000US39013","Belmont County, Ohio","68889","*****","64802","248","54034","642","17575","444","9398","476","8177","453","13102","436","17901","487","16553","509","296","103","1052","218","1234","235","571","172","831","210","193","110","180","92","787","242","1660","267","80","95","191","88","805","176","7","13","577","177","10768","677","9335","516","4476","414","3849","368","627","147","4859","274","4374","263","485","107","1433","267","20","23","274","96","821","160","0","27","318","136","4087","248"
"0500000US39015","Brown County, Ohio","43799","*****","43223","206","37295","679","12405","513","6693","412","5712","438","9192","401","11857","393","10610","526","371","155","876","260","1290","307","141","69","230","89","78","55","239","109","574","253","1289","238","21","22","12","16","698","187","0","24","558","159","5928","636","4928","446","2274","314","1780","274","494","172","2654","312","2314","295","340","124","1000","312","13","18","60","49","465","155","0","24","462","266","576","206"
"0500000US39017","Butler County, Ohio","375702","*****","364032","578","307279","1765","94185","1193","49047","1268","45138","1177","70949","1242","112645","1548","105492","1701","2507","408","4646","549","8027","756","3679","626","4048","557","836","237","1370","262","3751","511","7789","747","307","119","949","287","4288","530","163","104","2082","321","56753","1916","42231","1045","20469","877","15479","780","4990","517","21762","737","17715","702","4047","432","14522","1198","803","390","6878","842","5280","529","31","37","1530","337","11670","578"
"0500000US39019","Carroll County, Ohio","27825","*****","27373","94","23592","463","7809","384","4327","337","3482","310","6402","316","7746","400","7243","426","156","98","347","116","563","167","124","89","187","103","52","54","59","45","161","78","489","143","12","17","20","29","250","113","22","38","185","90","3781","452","3108","337","1599","230","1285","211","314","99","1509","205","1307","195","202","94","673","212","45","51","57","56","383","119","7","13","181","147","452","94"
"0500000US39021","Champaign County, Ohio","39005","*****","38142","134","32453","520","10752","306","5652","330","5100","374","8371","259","10565","389","9749","407","259","114","557","162","1270","305","155","70","162","61","131","75","96","51","214","102","737","163","0","24","67","66","474","138","23","23","173","75","5689","495","4522","340","2406","275","1759","241","647","150","2116","190","1918","193","198","73","1167","266","50","53","326","187","586","165","0","24","205","134","863","134"
"0500000US39023","Clark County, Ohio","135520","*****","132307","392","109003","931","35942","647","18253","705","17689","655","24988","626","36754","850","33127","965","1043","249","2584","428","3525","445","1113","263","1081","218","189","69","573","161","1100","251","3738","427","220","88","205","94","2374","339","87","60","852","193","23304","911","18894","657","8931","409","6856","427","2075","285","9963","542","8661","483","1302","184","4410","518","231","143","1452","320","2169","283","5","8","553","165","3213","392"
"0500000US39025","Clermont County, Ohio","202166","*****","200264","349","173424","1341","54336","888","28837","925","25499","951","43027","835","60933","1004","55698","1092","1862","397","3373","535","5119","647","1329","287","1628","280","445","150","714","173","1702","366","4191","645","204","112","381","190","1666","306","127","117","1813","432","26840","1269","21807","891","10342","587","8063","488","2279","357","11465","701","9944","673","1521","213","5033","612","310","233","883","218","2490","275","20","33","1330","311","1902","349"
"0500000US39027","Clinton County, Ohio","41869","*****","40668","201","34465","537","11088","323","5736","309","5352","337","8296","353","11675","423","10456","520","270","124","949","243","1093","248","249","106","350","109","113","99","161","80","249","105","1191","234","3","5","81","70","745","169","7","14","355","135","6203","492","5221","346","2744","275","2229","239","515","152","2477","248","2163","232","314","99","982","228","25","24","188","115","657","171","1","2","111","71","1201","201"
"0500000US39029","Columbiana County, Ohio","104584","*****","100722","365","85560","873","28511","631","14674","591","13837","616","21165","682","27650","849","25514","792","609","172","1527","354","2763","531","659","162","850","223","111","62","405","118","1011","252","2435","353","172","97","103","85","1397","288","61","51","702","198","15162","907","13071","675","6322","460","5103","393","1219","275","6749","449","6193","434","556","124","2091","366","188","143","357","164","1148","216","5","9","393","189","3862","365"
"0500000US39031","Coshocton County, Ohio","36602","*****","36139","99","30586","482","9699","288","5546","289","4153","314","7655","301","11102","372","10331","421","214","97","557","190","622","162","275","128","242","107","13","19","109","51","203","91","666","154","63","50","19","26","331","113","8","13","245","101","5553","468","4668","361","2221","264","1851","249","370","116","2447","253","2140","229","307","107","885","192","24","36","147","86","527","132","0","24","187","79","463","99"
"0500000US39033","Crawford County, Ohio","42231","*****","41689","191","34472","461","11580","319","5951","346","5629","328","8548","374","11668","464","10740","448","256","114","672","163","835","236","154","74","272","113","40","30","224","95","150","81","1001","214","13","20","35","36","678","153","38","49","237","134","7217","457","6253","388","3002","256","2515","246","487","124","3251","250","2930","240","321","89","964","174","18","21","234","118","541","109","0","24","171","72","542","191"
"0500000US39035","Cuyahoga County, Ohio","1257401","*****","1228706","989","953173","2754","304670","2121","140449","1730","164221","1859","195348","1828","356350","2263","337469","2411","7623","796","11258","835","27821","1298","14172","837","12261","947","2153","314","2698","291","14701","933","22999","1133","1476","266","2481","359","13152","695","532","209","5358","616","275533","2856","232951","2217","106630","1294","89283","1316","17347","813","126321","1690","111116","1686","15205","652","42582","1443","3923","600","12059","890","19507","870","220","134","6873","633","28695","989"
"0500000US39037","Darke County, Ohio","51919","*****","51238","174","43708","499","14355","388","7902","378","6453","389","11558","358","14937","371","13770","448","448","155","719","197","855","179","273","133","213","89","50","38","155","66","311","115","1001","235","28","28","63","40","554","116","93","86","263","130","7530","506","6448","368","3098","266","2474","214","624","169","3350","275","2969","259","381","123","1082","210","44","41","89","56","801","167","0","27","148","70","681","174"
"0500000US39039","Defiance County, Ohio","38311","*****","37694","183","31777","551","10632","351","5283","373","5349","351","8035","337","10649","507","9829","573","263","114","557","158","969","262","205","114","85","53","45","43","129","68","258","144","770","154","36","31","12","16","467","130","63","50","192","89","5917","506","4677","344","2427","248","1770","218","657","165","2250","209","1950","180","300","98","1240","268","45","52","274","115","592","146","4","8","325","156","617","183"
"0500000US39041","Delaware County, Ohio","193024","*****","190385","291","170887","914","51699","683","30369","738","21330","682","44798","746","65328","890","61433","988","1646","382","2249","397","2096","477","926","256","1486","291","562","164","777","258","617","206","2598","424","191","116","194","154","1361","235","24","25","828","219","19498","906","16002","621","6988","452","5610","387","1378","238","9014","484","7742","461","1272","225","3496","447","146","122","953","292","1970","309","0","27","427","192","2639","291"
"0500000US39043","Erie County, Ohio","75369","*****","74039","274","59497","806","19879","514","9720","439","10159","497","14588","523","19814","661","18522","656","543","178","749","197","1519","325","322","141","541","160","133","66","241","88","426","215","2034","481","228","172","89","57","1150","316","3","5","564","237","14542","796","11698","588","5702","406","4470","361","1232","281","5996","467","5069","396","927","193","2844","372","115","94","792","262","1551","285","0","27","386","172","1330","274"
"0500000US39045","Fairfield County, Ohio","151526","*****","148645","289","129627","922","40142","719","21808","725","18334","751","31646","646","47208","875","43291","986","1045","267","2872","466","2444","382","872","226","1081","256","636","195","429","126","1518","347","3651","557","352","173","387","170","2028","343","37","42","847","245","19018","876","15407","617","7095","477","5649","465","1446","255","8312","480","7149","470","1163","207","3611","514","376","187","709","211","1764","291","0","27","762","298","2881","289"
"0500000US39047","Fayette County, Ohio","28659","*****","28248","163","23956","354","8011","295","3805","280","4206","314","5727","276","7785","285","7211","346","115","63","459","165","692","151","100","50","205","94","46","26","95","53","212","88","1083","286","84","61","81","58","525","151","9","14","384","192","4292","358","3718","273","1812","215","1494","201","318","129","1906","206","1648","180","258","101","574","163","29","32","82","55","406","130","0","21","57","34","411","163"
"0500000US39049","Franklin County, Ohio","1253507","*****","1225885","1097","948414","4416","291539","2550","140409","2311","151130","2172","197505","2392","355730","3102","333552","3308","7984","820","14194","1118","23550","1404","15729","1204","13408","1053","2645","522","3127","489","15090","1304","30091","1679","1979","522","5800","692","14737","848","768","386","6807","768","277471","4105","204798","2530","97750","1657","72683","1625","25067","1050","107048","1808","85940","1521","21108","832","72673","2427","4744","724","36432","1999","24165","1119","72","47","7260","892","27622","1097"
"0500000US39051","Fulton County, Ohio","42296","*****","41824","170","36724","437","12032","324","6516","343","5516","359","9665","319","12655","432","11587","481","406","168","662","184","731","199","228","117","180","74","12","14","79","46","179","76","963","251","16","18","73","54","606","159","75","80","193","121","5100","408","4372","326","2177","232","1830","223","347","120","2195","241","1933","221","262","86","728","181","8","15","50","30","536","131","0","24","134","98","472","170"
"0500000US39053","Gallia County, Ohio","30203","*****","29369","175","24973","431","7873","341","4275","347","3598","312","6128","353","8139","474","7474","464","169","101","496","190","1102","243","90","62","300","129","57","52","200","94","545","229","539","192","37","32","28","38","364","147","0","24","110","83","4396","434","3647","325","1565","218","1330","188","235","95","2082","223","1836","229","246","69","749","219","22","33","322","180","310","105","0","24","95","69","834","175"
"0500000US39055","Geauga County, Ohio","93895","*****","92898","164","82067","717","26259","483","14475","526","11784","458","22755","481","29214","596","27869","622","588","287","757","197","1217","294","246","95","402","124","214","81","223","86","527","180","1010","275","211","190","78","61","528","169","40","43","153","89","10831","679","8862","474","4249","390","3479","388","770","193","4613","317","3666","267","947","218","1969","387","45","33","350","211","1319","270","0","27","255","123","997","164"
"0500000US39057","Greene County, Ohio","164825","*****","155666","692","127918","1090","42558","745","24517","831","18041","691","33621","771","43018","924","40434","901","831","218","1753","302","2477","402","872","236","980","202","491","227","301","114","1010","251","2590","455","222","105","462","211","1348","258","97","86","461","180","27748","1036","22144","705","10834","494","8746","502","2088","247","11310","607","9647","573","1663","275","5604","562","536","275","2687","468","1753","271","0","27","628","201","9159","692"
"0500000US39059","Guernsey County, Ohio","39414","*****","38863","149","32046","468","10597","275","5523","308","5074","351","7795","236","10297","463","9485","499","239","122","573","160","1329","343","238","126","272","103","27","23","199","94","398","197","894","186","13","11","61","44","528","139","16","19","276","129","6817","451","5468","302","2554","228","2035","244","519","136","2914","262","2362","216","552","154","1349","299","28","24","248","184","750","179","0","24","323","163","551","149"
"0500000US39061","Hamilton County, Ohio","808703","*****","790281","849","613975","2634","195770","1665","90298","1669","105472","1516","131224","1649","228731","2284","216449","2244","5334","635","6948","740","17476","1190","7406","774","6193","637","1057","201","1414","288","9327","1032","15377","1060","1056","306","1863","320","7325","625","1235","581","3898","515","176306","2482","142497","1678","66587","1362","53085","1191","13502","711","75910","1276","64827","1294","11083","627","33809","1451","2054","373","14088","1112","12980","740","123","91","4564","694","18422","849"
"0500000US39063","Hancock County, Ohio","75508","*****","73591","259","58424","873","19951","472","11084","610","8867","522","15738","528","18735","670","17298","666","383","147","1054","253","1134","255","222","93","175","80","59","47","93","57","345","172","1972","459","72","78","366","188","911","234","3","5","620","258","15167","849","12098","615","5980","470","4640","424","1340","248","6118","455","4963","407","1155","223","3069","445","127","80","969","333","1554","311","0","27","419","147","1917","259"
"0500000US39065","Hardin County, Ohio","31576","*****","29256","268","24533","500","7588","319","3927","282","3661","295","6104","251","9151","422","8519","482","87","49","545","199","528","189","79","52","166","80","52","35","72","57","250","99","543","123","23","32","23","26","232","74","80","82","185","86","4723","402","3842","273","1775","203","1407","193","368","134","2067","191","1777","180","290","92","881","196","33","37","297","138","398","119","0","24","153","74","2320","268"
"0500000US39067","Harrison County, Ohio","15397","*****","15129","102","12796","301","4315","198","2323","184","1992","167","3492","189","3945","250","3596","255","67","42","282","109","301","88","70","54","52","37","5","7","64","46","156","77","396","112","37","32","31","27","250","89","6","10","72","41","2333","296","1877","189","1017","127","839","121","178","70","860","125","771","115","89","52","456","192","10","11","89","79","210","72","0","18","147","128","268","102"
"0500000US39069","Henry County, Ohio","27463","*****","27027","160","23174","363","7802","297","4068","284","3734","255","5994","303","7658","255","7279","276","78","41","301","119","573","156","98","50","117","65","9","8","24","16","183","75","716","176","14","18","35","36","444","124","32","37","191","78","3853","351","3292","269","1769","219","1411","194","358","110","1523","164","1361","157","162","65","561","138","11","15","142","70","330","104","0","21","78","53","436","160"
"0500000US39071","Highland County, Ohio","43031","*****","42492","177","35729","569","11117","408","5619","350","5498","390","8298","410","12365","564","11244","586","331","143","790","223","1242","297","271","118","403","141","101","67","216","112","482","190","1234","286","4","7","147","140","616","137","154","141","313","111","6763","549","5614","392","2643","297","2046","268","597","167","2971","277","2613","254","358","113","1149","256","20","16","236","118","551","115","0","24","342","181","539","177"
"0500000US39073","Hocking County, Ohio","28547","*****","27858","206","23661","426","7731","346","3880","258","3851","305","6057","314","7408","332","6738","367","223","141","447","161","767","161","187","99","232","125","35","35","139","77","350","168","755","163","1","2","6","9","517","137","52","48","179","67","4197","421","3537","301","1785","220","1415","172","370","124","1752","215","1509","193","243","115","660","176","16","26","113","81","465","142","0","21","66","51","689","206"
