"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters"
"0500000US39001","Adams County, Ohio","27776","*****","27396","135","10673","327","5401","368","1175","216","4226","347","5272","326","1587","225","3685","334","5071","353","19","16","645","176","43","43","8296","518","7598","518","165","103","533","249","940","258","136","64","142","97","44","45","155","108","360","137","0","21","872","351","380","135"
"0500000US39003","Allen County, Ohio","103175","*****","99288","333","40650","469","20308","529","5733","380","14575","566","20342","565","6487","367","13855","566","18534","546","81","38","2894","341","28","19","29678","774","27784","849","506","149","1388","240","2061","359","574","161","534","163","371","136","221","107","1060","230","157","124","2445","403","3887","333"
"0500000US39005","Ashland County, Ohio","53536","*****","51238","285","20417","288","11055","482","2806","273","8249","517","9362","426","2808","265","6554","408","10568","393","55","42","1435","258","32","28","14850","530","13753","585","360","141","737","261","1025","302","268","100","227","90","125","72","264","88","436","138","11","14","1525","327","2298","285"
"0500000US39007","Ashtabula County, Ohio","97830","*****","94376","288","37832","548","19028","521","5381","407","13647","554","18804","543","6154","458","12650","583","17301","549","127","88","3220","371","71","42","27721","839","25309","878","710","275","1702","395","2454","436","775","183","1012","282","161","91","238","90","992","224","60","50","2412","433","3454","288"
"0500000US39009","Athens County, Ohio","65917","*****","56215","508","22557","494","11404","501","3497","357","7907","442","11153","387","3547","285","7606","403","9116","418","104","69","1704","225","104","54","12736","558","11736","546","212","89","788","238","893","203","607","205","560","188","31","30","241","117","484","170","29","22","7049","585","9702","508"
"0500000US39011","Auglaize County, Ohio","45729","*****","45172","135","18888","261","10127","348","2349","228","7778","337","8761","339","2575","216","6186","361","10381","329","47","32","1141","204","46","27","12326","386","11403","393","135","58","788","205","1009","222","117","59","113","72","52","36","85","34","265","111","58","65","644","209","557","135"
"0500000US39013","Belmont County, Ohio","68024","*****","63964","268","25919","481","13261","445","4115","337","9146","449","12658","422","4441","315","8217","376","12446","411","35","30","1416","225","25","28","18311","637","16718","659","427","151","1166","258","1318","299","790","212","846","238","126","110","277","133","741","204","11","17","1703","340","4060","268"
"0500000US39015","Brown County, Ohio","43572","*****","42968","213","17829","355","9302","446","2000","261","7302","450","8527","429","2641","319","5886","480","9136","461","56","43","1294","307","15","16","11512","486","10255","541","388","155","869","237","1097","272","121","64","208","86","69","51","194","77","432","199","25","46","980","303","604","213"
"0500000US39017","Butler County, Ohio","380019","*****","368347","624","139113","864","70018","1107","15932","713","54086","1235","69095","1144","19219","893","49876","1203","71072","1324","379","145","9200","714","344","124","112768","1439","104904","1483","2055","428","5809","671","9378","858","3467","551","3975","509","673","201","1141","226","3877","559","325","182","12635","966","11672","624"
"0500000US39019","Carroll County, Ohio","27332","*****","26881","166","11298","333","6512","337","1704","229","4808","345","4786","339","1340","211","3446","336","6304","341","3","6","620","139","19","20","7061","353","6570","368","69","43","422","157","532","167","158","100","112","63","32","38","46","36","158","80","33","49","505","196","451","166"
"0500000US39021","Champaign County, Ohio","38845","*****","38006","178","15159","334","8191","378","2024","263","6167","427","6968","423","1890","214","5078","397","8145","331","45","29","1187","202","23","27","10308","477","9284","496","227","114","797","165","1192","357","252","117","238","87","123","106","132","90","311","138","53","50","838","247","839","178"
"0500000US39023","Clark County, Ohio","134726","*****","131582","360","54696","629","27201","668","6802","415","20399","677","27495","656","9022","426","18473","623","24213","572","186","71","4911","469","118","71","35969","752","32674","800","1140","308","2155","367","4039","465","1002","202","972","206","130","61","580","144","927","224","103","73","3736","442","3144","360"
"0500000US39025","Clermont County, Ohio","204275","*****","202356","366","78009","507","38867","807","8524","626","30343","802","39142","798","10819","623","28323","895","42925","806","193","111","4536","418","232","98","60274","1081","54864","1239","1796","437","3614","438","5107","764","1258","238","2100","382","531","165","668","186","1929","450","148","107","4446","545","1919","366"
"0500000US39027","Clinton County, Ohio","41957","*****","40728","261","16528","307","8460","449","2298","278","6162","407","8068","363","2257","232","5811","378","8036","377","42","31","1392","281","21","24","11603","371","10349","453","337","135","917","251","1151","247","260","108","330","132","81","53","155","74","299","113","29","33","801","192","1229","261"
"0500000US39029","Columbiana County, Ohio","103190","*****","99264","344","41537","552","21580","653","5728","412","15852","654","19957","632","6522","409","13435","662","20374","514","121","66","2612","309","68","40","26890","869","24628","937","783","229","1479","332","2810","663","433","159","847","211","133","71","415","119","881","218","41","42","2102","377","3926","344"
"0500000US39031","Coshocton County, Ohio","36585","*****","36124","83","14476","280","7578","310","1968","208","5610","304","6898","329","2035","194","4863","330","7693","334","30","26","750","175","21","24","10915","465","10034","495","199","98","682","223","649","191","268","124","225","99","24","27","100","60","168","80","70","74","735","207","461","83"
"0500000US39033","Crawford County, Ohio","41821","*****","41272","163","17782","329","9070","343","2546","245","6524","371","8712","309","2979","252","5733","358","8232","339","72","53","1285","189","33","30","11191","487","10345","522","294","135","552","149","797","223","260","98","244","130","47","35","123","52","182","95","80","70","944","326","549","163"
"0500000US39035","Cuyahoga County, Ohio","1247451","*****","1218610","1149","540965","2090","250409","2090","91881","1502","158528","2048","290556","2147","113229","1695","177327","2171","192443","2105","1699","234","32114","1205","2221","291","343750","2554","326199","2735","6223","689","11328","877","26314","1470","14519","985","12234","815","2131","323","2593","311","14925","1060","640","288","32062","1895","28841","1149"
"0500000US39037","Darke County, Ohio","51513","*****","50907","169","20861","321","10835","428","2540","269","8295","454","10026","400","2870","299","7156","396","11574","411","50","34","1411","227","42","31","14534","480","13436","466","241","107","857","210","932","179","211","103","138","78","39","34","121","59","218","100","75","57","701","226","606","169"
"0500000US39039","Defiance County, Ohio","38160","*****","37581","190","15297","267","8137","304","1805","188","6332","334","7160","344","1889","220","5271","303","8054","359","32","31","1073","201","9","17","10636","457","9762","488","202","85","672","149","785","206","238","117","121","70","67","57","100","63","270","116","63","51","836","255","579","190"
"0500000US39041","Delaware County, Ohio","201135","*****","198567","321","69985","446","38591","897","5691","513","32900","968","31394","892","7908","422","23486","848","45815","834","202","74","3383","403","188","73","68337","852","64277","977","1734","320","2326","390","1987","301","1065","256","1724","352","703","215","656","216","1114","411","12","19","3396","538","2568","321"
